"Co_Ca","Lith","SGDsd","SGDmean","SGDtot","OFtot","CRtot","R1tot","R2tot","k1","k2","k3","K_r3","S1max","S2max","D3","P","ET_act","ET_pot"
16,10,0.0001056625011226,3.06126765461633,1117.80001788562,430.137644035824,84.3436001737585,1752.59463840279,1117.75666203759,47.8175102,17.20353061,245.753057562842,6.08676347218302e-07,339.7058824,339.85285712,1000,2741.60659411857,1193.71228804515,1252.68904685714
17,10,7.11808283565011e-05,3.26922103747958,1193.73271025683,390.714462355845,81.3345721545236,1897.72113266625,1193.74735357551,53.59708125,19.02776875,268.029594831616,3.69163028234679e-07,373.3962264,335.118875,1000,2795.98796634786,1211.5261504165,1240.99708485714
18,10,4.5432045396997e-05,2.72073790370375,993.458011695257,407.441082417098,69.8582115115173,1487.8579335013,993.429576041214,48.11834112,17.1421028,265.266281721908,2.33079525787896e-07,474.829932,337.65219628,1000,2664.89759102357,1264.02693256526,1283.5598135
19,10,0.000240999106750394,3.11666246491668,1138.02703718958,472.323091252262,76.6818904005428,1795.35449793508,1138.06706939754,52.95311494,18.98027586,215.050357993393,1.13841258882684e-06,419.6774194,331.1434483,2336.95092897799,2815.40466422429,1205.01450357449,1246.09519085714
20,1,0.000747175147448558,3.49904922982996,1277.65283306363,44.6910378533513,110.284253300464,1870.60464936388,1277.67902321665,214.7622157,108.8023333,8.47584,4.87133759894493e-06,494.2647059,309.34784314,52174.6321158986,2176.26807719857,853.898016128571,853.898016128571
21,10,0.000867652666317144,2.93328490201059,1071.06802993415,613.056011660375,73.3798532021173,1626.26549936683,1071.00416169681,39.53125301,14.06918072,475.138814608576,4.17279060474994e-06,382.2689076,352.06457832,7400.08643117607,2882.98360854429,1198.9234351871,1251.12658942857
23,1,0.000289107453961758,4.11290307303888,1501.79717924106,159.880765048097,112.748010390956,2502.17329021757,1501.85032139833,142.2197042,54.90176056,28.7027950430834,2.5614812256686e-06,358.0412371,304.86478876,36096.1113550119,2568.30077548929,906.569689042857,906.569689042857
24,10,0.00064499324934655,3.69484592271017,1349.14659692103,261.528836083084,132.737720603776,2074.35204859381,1349.18946659049,93.15173497,34.13412842,201.023333218961,5.59331472631582e-06,328.6060606,350.09945355,10525.2285182637,2695.02736531643,1084.30906264286,1084.30906264286
25,10,5.90091622539093e-05,3.59431220797573,1312.43742908371,546.046686400034,61.3011621430011,2007.88300569017,1312.43934161068,32.73731058,11.69931058,265.917720866287,4.64654701567343e-07,469.8214286,358.98962456,1000,3086.27197679643,1227.78594878571,1227.78594878571
26,10,0.00021063653473858,3.31687232021615,1211.13223578178,651.938327745752,54.4303298305022,1797.65177523404,1211.16306686925,32.20075291,11.58639244,169.164644284939,1.7074385088818e-06,562.2198732,356.7745349,6546.01518405826,3081.84873632929,1218.74734171429,1218.74734171429
27,1,0.00049303112586952,3.92514322332622,1433.23801126026,305.765167801038,103.365873852351,3144.40975444886,1433.22719666597,163.6403043,58.37269565,8.47584,3.7523770105242e-06,194.1176471,295.22347827,48868.9231654782,2558.08247036071,819.09010589371,837.542955571428
29,1,0.000495524538039568,4.14877632810274,1514.89604209009,163.630744188456,85.0557951012967,3109.42379409904,1514.87289246418,231.4360364,95.93714545,8.47584,3.50906936868361e-06,269.8989899,308.94436363,116829.819466496,2558.08247036071,879.578833708077,887.717032985714
31,1,0.000906346356462051,3.97318917026584,1450.78164559993,247.149695081238,94.0576057924248,3034.01056863893,1450.84418741534,210.3451563,82.940875,8.47584,5.14573151235369e-06,214.1935484,309.68875,82213.7687551236,2517.72493703929,819.731054542703,851.089763057143
32,1,0.000205332642363923,3.75981335239258,1372.86898981649,280.053715898639,92.7347071548003,2742.60585812919,1372.90028358684,154.2436951,61.33515854,8.47584,1.15949631262922e-06,236.8846154,308.58304876,77592.2572033203,2517.72493703929,864.77093755381,900.649407828571
33,1,0.0110549458772911,4.26410086127933,1557.00597163285,298.068489077718,160.125748884922,1904.83308191293,1557.02644877892,310.8482727,136.8329091,8.47584,4.9689333846068e-05,99.5,313.47272726,61898.9306899823,2577.46074073736,722.365802880716,832.987352964286
34,10,0.000337398317222699,3.97418989368882,1451.1470526098,168.08919984475,136.273881835469,2352.06569087137,1451.16558277196,139.7552587,50.0516993,116.725031514811,1.35188598948043e-06,362.0304569,349.25349648,15206.8307278638,2577.46074073736,958.205958120645,965.817770142857
35,1,0.000386706745937806,3.65780179578885,1335.62019857661,125.034911188336,103.777817244151,2031.75233875365,1335.67182113793,358.2436452,130.4374839,8.47584,1.68194551968657e-06,204.5652174,313.36967739,48339.2996363966,2286.37719456929,825.670462243021,876.357801771429
36,1,0.000240743257524003,3.44780666891777,1258.94197796483,214.725113953676,93.8010433063289,2296.2741641263,1259.00796960423,137.7229658,48.86501709,25.7519470000269,1.09204484703666e-06,339.9415205,308.34641026,48542.4505406089,2348.75222242643,875.019138868519,875.44395285
37,1,0.00222068685531281,2.47132995890469,902.3884821372,147.1739879106,72.883027264782,1821.63164698405,902.339010471478,160.8790556,56.82777778,8.47584,1.44739264419834e-05,303.3333333,294.78166669,48569.9123503169,1989.62047322143,940.107474839351,1063.36191278571
38,10,0.000298162880457876,2.96055974118776,1081.02724263941,83.504183713691,97.6126464023391,1827.14429448896,1081.04972247278,154.0379008,54.6799084,114.885518823252,1.69101400345278e-06,332.0689655,313.49847326,29549.5502132447,2171.97322592571,1007.41931973924,1066.45093742857
40,10,0.00099155502366693,1.75990945894345,642.618368151353,157.947925609897,66.4365014526598,930.580956165705,642.624403212009,61.27133333,21.84074157,295.178349374878,7.83221477200081e-06,381.7914439,342.45205995,14068.2980417499,1946.35875413214,1145.78642531024,1278.18592828571
41,100,0.0012886006189426,1.90061722783974,693.996804908338,228.176472839803,65.4086411047449,1087.20424025182,694.04040895622,71.54554762,25.37536905,1047.0329759658,1.04455651469324e-05,381.1965812,324.8016667,14942.7513831324,2072.31432769,1150.09744589398,1185.48621142857
42,10,0.00029398722219323,2.8944061928582,1056.87174699222,37.10386178496,111.947883402715,1539.41764967061,1056.90046151002,172.638717,61.45707547,85.1927249841232,1.66349600219335e-06,406.6666667,328.76358494,21446.0571518936,2171.97322592571,1077.96890263074,1106.59754607143
43,10,0.000254196976504867,1.95537956021857,713.992879416951,156.096294845204,73.5161478113951,1103.915417815,713.949151929591,76.76239355,27.39259355,106.952970188907,2.08808572000189e-06,387.2685185,340.75548388,5593.77283467348,1959.37037997214,1089.32493319735,1268.69895914286
44,100,0.00189631855265112,1.81597999287124,663.092123111271,117.223967804482,69.7604906888914,1004.2906257756,663.156326452355,88.75029082,31.72027041,856.878073440433,1.35804442101891e-05,403.6162362,321.89250002,16392.0166643068,1903.02877385429,1122.64847959745,1174.31819564286
45,10,0.000175268670375477,1.96542775129974,717.661904617449,137.602044037234,75.0550734752891,987.171546597051,717.706411728632,71.44366979,30.82239578,169.245990880509,1.21264460190484e-06,375.8965517,338.50786886,5434.45629960447,1965.212445105,1109.90398933913,1249.82179607143
