"cat","S1_0","S2_0","S3_0"
156,253.111940696854,189.192768531486,2572003.76719402
158,164.415866490443,169.299046649055,24975734.7542894
159,305.602816081595,175.61439722386,63997610.1637805
160,271.52465020922,169.614774527099,2033134.16702699
161,177.319705999944,163.403217433304,9096943.83057404
162,156.569856053823,175.061893136824,930023.606353091
163,321.053587720725,227.961069204346,22449620.7266054
164,300.155274368196,183.159430102159,23000819.3115475
165,285.223561976884,288.111059385079,57457.2658177889
166,295.995534544889,284.406121618571,135536.381209143
